Countries and areas,Under-5 mortality rate (U5MR) 1990,Under-5 mortality rate (U5MR) 2011,U5MR male 2011,U5MR female 2011,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2011,Neonatal  mortality  rate 2011,Total population (thousands) 2011,Annual no. of births (thousands) 2011
Saudi Arabia,42.7,9.2,10,8.4,34.4,7.9,5.4,28082.541,604.76
Senegal,135.9,64.8,69.3,60.1,68.8,46.7,25.8,12767.556,470.836
Serbia,28.6,7.1,8,6.1,24.8,6.1,4.4,9853.969,109.767
Seychelles,16.6,13.8,14.9,12.6,14,11.9,8.6,86.879,_
Sierra Leone,266.7,185.3,194.2,176.1,157.6,119.2,49.4,5997.486,226.798
Singapore,7.5,2.6,2.9,2.3,6.1,2,1.2,5187.933,47.029
Slovakia,17.6,7.7,8.5,6.9,15.5,6.5,4.2,5471.502,57.766
Slovenia,10.4,2.8,3,2.6,8.7,2.1,1.5,2035.012,20.319
Solomon Islands,41.8,21.6,21,22.2,33.7,18.4,10.5,552.267,17.301
Somalia,180,180,189.7,170.1,108.3,108.3,50.1,9556.873,415.682
South Africa,62.3,46.7,49.5,43.8,48.2,34.6,19.2,50459.978,1052.42
South Sudan_,217.3,120.5,121.9,119.1,128.6,76,37.7,10314.02,_
Spain,10.9,4.2,4.5,3.9,9.3,3.5,2.5,46454.895,499.105
Sri Lanka,28.9,12.2,13.4,10.9,24.2,10.5,7.7,21045.394,373.262
State of Palestine,43.1,22,23.3,20.7,35.6,19.7,13,4152.369,136.683
Sudan_,122.8,86,90.6,81.2,77.3,56.6,31.1,34318.39,_
Suriname,51.9,29.5,32.5,26.2,44.1,26,16.2,529.419,9.603
Swaziland,83.3,103.6,112.9,94,61.3,69,34.6,1203.33,34.97
Sweden,6.7,2.8,3,2.6,5.7,2.2,1.5,9440.747,113.203
Switzerland,8.1,4.4,4.8,4,6.6,4,3.1,7701.69,76.567
Syrian Arab Republic,36.1,15.3,16.4,14.1,29.6,13.2,8.7,20766.037,465.516
Tajikistan,114.3,63.3,70,56.3,89.1,52.8,24.7,6976.958,194.103
Thailand,35,12.3,13.4,11.1,28.8,10.6,7.6,69518.555,824.017
The former Yugoslav Republic of Macedonia,37.6,9.6,10.5,8.7,34,8.7,6.4,2063.893,21.955
Timor-Leste,180,54.1,57.2,50.8,135,45.8,23.8,1153.834,44.488
Togo,147,110.1,118.1,102,85.2,72.9,35.8,6154.813,194.71
Tonga,24.5,15.4,17.7,13,20.7,13.2,7.8,104.509,2.777
Trinidad and Tobago,36.8,27.7,30.9,24.4,32.1,24.5,18.4,1346.35,19.634
Tunisia,51.1,16.2,17.5,14.8,40.3,13.9,9.5,10594.057,179.434
Turkey,72,15.2,15.9,14.4,59.8,11.5,9,73639.596,1288.624
Turkmenistan,94.3,52.5,57.2,47.6,75.2,44.6,21.6,5105.301,109.493
Tuvalu,57.6,30.1,32.8,27.3,44.7,25.1,13.6,9.847,_
Uganda,178,89.9,96.8,82.8,106.1,57.9,27.6,34509.205,1545.11
Ukraine,19.4,10.1,11.4,8.7,16.6,8.7,4.7,45190.18,494.153
United Arab Emirates,22.2,6.6,7.2,6,18.9,5.6,3.9,7890.924,94.252
United Kingdom,9.2,5.1,5.5,4.6,7.8,4.4,3,62417.431,761.07
United Republic of Tanzania,157.9,67.6,69.9,65.2,96.7,45.4,25.2,46218.486,1912.861
United States,11.3,7.5,8.2,6.8,9.4,6.4,4.3,313085.38,4322.394
Uruguay,23.1,10.3,11.3,9.2,20.2,8.7,5.4,3380.008,49.495
Uzbekistan,75.3,48.6,54.5,42.4,61.6,41.5,15,27760.267,588.666
Vanuatu,38.5,13.2,13.9,12.4,31.3,11.4,6.8,245.619,7.179
Venezuela (Bolivarian Republic of),30.9,15,16.8,13.1,25.7,12.9,8.4,29436.891,598.472
Viet Nam,49.9,21.7,24.6,18.6,36.1,17.3,11.9,88791.996,1457.775
Yemen,126,76.5,79.7,73.2,88.5,57,31.9,24799.88,939.589
Zambia,192.8,82.9,85.9,79.8,114.2,52.7,27.4,13474.959,622.268
Zimbabwe,79.2,67.1,72.8,61.3,52.5,42.8,29.9,12754.378,376.708
